Einkommensteuer-Grundtabelle 2007 / Einkommensteuer-Splittingtabelle 2007 

7.500 € bis 7.874 € 
zvE G S zvE G S zvE G S zvE G S zvE G S 
7.500 0 0 7.575 0 0 7.650 0 0 7.725 9 0 7.800 20 0 
7.501 0 0 7.576 0 0 7.651 0 0 7.726 9 0 7.801 20 0 
7.502 0 0 7.577 0 0 7.652 0 0 7.727 9 0 7.802 20 0 
7.503 0 0 7.578 0 0 7.653 0 0 7.728 9 0 7.803 21 0 
7.504 0 0 7.579 0 0 7.654 0 0 7.729 9 0 7.804 21 0 
7.505 0 0 7.580 0 0 7.655 0 0 7.730 9 0 7.805 21 0 
7.506 0 0 7.581 0 0 7.656 0 0 7.731 10 0 7.806 21 0 
7.507 0 0 7.582 0 0 7.657 0 0 7.732 10 0 7.807 21 0 
7.508 0 0 7.583 0 0 7.658 0 0 7.733 10 0 7.808 21 0 
7.509 0 0 7.584 0 0 7.659 0 0 7.734 10 0 7.809 21 0 
7.510 0 0 7.585 0 0 7.660 0 0 7.735 10 0 7.810 22 0 
7.511 0 0 7.586 0 0 7.661 0 0 7.736 10 0 7.811 22 0 
7.512 0 0 7.587 0 0 7.662 0 0 7.737 10 0 7.812 22 0 
7.513 0 0 7.588 0 0 7.663 0 0 7.738 11 0 7.813 22 0 
7.514 0 0 7.589 0 0 7.664 0 0 7.739 11 0 7.814 22 0 
7.515 0 0 7.590 0 0 7.665 0 0 7.740 11 0 7.815 22 0 
7.516 0 0 7.591 0 0 7.666 0 0 7.741 11 0 7.816 23 0 
7.517 0 0 7.592 0 0 7.667 0 0 7.742 11 0 7.817 23 0 
7.518 0 0 7.593 0 0 7.668 0 0 7.743 11 0 7.818 23 0 
7.519 0 0 7.594 0 0 7.669 0 0 7.744 12 0 7.819 23 0 
7.520 0 0 7.595 0 0 7.670 0 0 7.745 12 0 7.820 23 0 
7.521 0 0 7.596 0 0 7.671 1 0 7.746 12 0 7.821 23 0 
7.522 0 0 7.597 0 0 7.672 1 0 7.747 12 0 7.822 23 0 
7.523 0 0 7.598 0 0 7.673 1 0 7.748 12 0 7.823 24 0 
7.524 0 0 7.599 0 0 7.674 1 0 7.749 12 0 7.824 24 0 
7.525 0 0 7.600 0 0 7.675 1 0 7.750 12 0 7.825 24 0 
7.526 0 0 7.601 0 0 7.676 1 0 7.751 13 0 7.826 24 0 
7.527 0 0 7.602 0 0 7.677 1 0 7.752 13 0 7.827 24 0 
7.528 0 0 7.603 0 0 7.678 2 0 7.753 13 0 7.828 24 0 
7.529 0 0 7.604 0 0 7.679 2 0 7.754 13 0 7.829 24 0 
7.530 0 0 7.605 0 0 7.680 2 0 7.755 13 0 7.830 25 0 
7.531 0 0 7.606 0 0 7.681 2 0 7.756 13 0 7.831 25 0 
7.532 0 0 7.607 0 0 7.682 2 0 7.757 14 0 7.832 25 0 
7.533 0 0 7.608 0 0 7.683 2 0 7.758 14 0 7.833 25 0 
7.534 0 0 7.609 0 0 7.684 3 0 7.759 14 0 7.834 25 0 
7.535 0 0 7.610 0 0 7.685 3 0 7.760 14 0 7.835 25 0 
7.536 0 0 7.611 0 0 7.686 3 0 7.761 14 0 7.836 26 0 
7.537 0 0 7.612 0 0 7.687 3 0 7.762 14 0 7.837 26 0 
7.538 0 0 7.613 0 0 7.688 3 0 7.763 14 0 7.838 26 0 
7.539 0 0 7.614 0 0 7.689 3 0 7.764 15 0 7.839 26 0 
7.540 0 0 7.615 0 0 7.690 3 0 7.765 15 0 7.840 26 0 
7.541 0 0 7.616 0 0 7.691 4 0 7.766 15 0 7.841 26 0 
7.542 0 0 7.617 0 0 7.692 4 0 7.767 15 0 7.842 26 0 
7.543 0 0 7.618 0 0 7.693 4 0 7.768 15 0 7.843 27 0 
7.544 0 0 7.619 0 0 7.694 4 0 7.769 15 0 7.844 27 0 
7.545 0 0 7.620 0 0 7.695 4 0 7.770 15 0 7.845 27 0 
7.546 0 0 7.621 0 0 7.696 4 0 7.771 16 0 7.846 27 0 
7.547 0 0 7.622 0 0 7.697 4 0 7.772 16 0 7.847 27 0 
7.548 0 0 7.623 0 0 7.698 5 0 7.773 16 0 7.848 27 0 
7.549 0 0 7.624 0 0 7.699 5 0 7.774 16 0 7.849 28 0 
7.550 0 0 7.625 0 0 7.700 5 0 7.775 16 0 7.850 28 0 
7.551 0 0 7.626 0 0 7.701 5 0 7.776 16 0 7.851 28 0 
7.552 0 0 7.627 0 0 7.702 5 0 7.777 17 0 7.852 28 0 
7.553 0 0 7.628 0 0 7.703 5 0 7.778 17 0 7.853 28 0 
7.554 0 0 7.629 0 0 7.704 6 0 7.779 17 0 7.854 28 0 
7.555 0 0 7.630 0 0 7.705 6 0 7.780 17 0 7.855 28 0 
7.556 0 0 7.631 0 0 7.706 6 0 7.781 17 0 7.856 29 0 
7.557 0 0 7.632 0 0 7.707 6 0 7.782 17 0 7.857 29 0 
7.558 0 0 7.633 0 0 7.708 6 0 7.783 17 0 7.858 29 0 
